site           roi      hw_raw     hw_norm   orth_norm
4.0           35.0        null        null        null
4.0           36.0        null        null        null
4.0           37.0        null        null        null
4.0           38.0        78.9       60.61     0.26377
4.0           39.0        null        null        null
4.0           40.0        null        null        null
4.0           41.0       68.64       61.93     0.12226
4.0           42.0        null        null        null
4.0           43.0        null        null        null
4.0           44.0        null        null        null
4.0           45.0        null        null        null
4.0           46.0        null        null        null
4.0           47.0        null        null        null
4.0           48.0        null        null        null
4.0           49.0        null        null        null
4.0           50.0       90.11       59.86     0.30903
4.0           51.0        null        null        null
4.0           52.0       46.72       46.09     0.01823
4.0           53.0       49.14       47.73    0.027679
4.0           54.0        null        null        null
4.0           55.0       77.13       54.88     0.22275
4.0           56.0       68.67       51.35     0.26642
4.0           57.0       65.72       57.05     0.19646
4.0           58.0       60.52       55.57    0.067108
4.0           59.0       63.92       40.84     0.30544
4.0           60.0       48.62       40.25     0.18229
4.0           61.0        null        null        null
4.0           62.0       51.89       42.29      0.2322
4.0           63.0        null        null        null
4.0           64.0       66.54       56.59     0.15725
4.0           65.0       64.01       59.95    0.063952
4.0           66.0       68.55       60.01     0.14502
4.0           67.0       46.91       46.15    0.015166
4.0           68.0       73.63       59.75      0.2494
4.0           69.0       43.46       42.61    0.026825
4.0           70.0       50.61       46.56      0.1052
4.0           71.0       59.99       58.17    0.014961
4.0           72.0       53.05        52.2   0.0046725
4.0           73.0       55.38       56.68    -0.03672
4.0           74.0        58.9       56.16    0.037963
4.0           75.0       64.21        48.2     0.14705
4.0           76.0       49.68       48.85    0.020173
4.0           77.0        null        null        null
4.0           78.0        null        null        null
4.0           79.0       60.58       48.37      0.2672
4.0           80.0        null        null        null
4.0           81.0       75.04        61.8     0.25387
4.0           82.0       50.27       49.78   0.0092681
4.0           83.0       60.95       55.42     0.10311
4.0           84.0        null        null        null
4.0           85.0       46.34       46.65  -0.0095813
4.0           86.0       53.36       54.07   -0.021674
4.0           87.0       50.69        47.5    0.082052
4.0           88.0       62.61       64.84   -0.060936
4.0           89.0       46.83       46.04     0.01304
4.0           90.0       63.34       59.88    0.066673
4.0           91.0       70.83        56.6     0.22992
4.0           92.0       73.97       74.59   -0.031952
4.0           93.0       51.03       46.37     0.12373
4.0           94.0       44.62       43.09    0.040903
4.0           95.0       52.89       50.68    0.056376
4.0           96.0       55.58       52.49    0.074805
4.0           97.0       63.85       51.54      0.1833
4.0           98.0       46.96        41.6     0.16631
4.0           99.0       65.35        54.6     0.19035
4.0          100.0       47.96       44.86    0.068157
4.0          101.0       60.44       55.72     0.10803
4.0          102.0       44.89        43.5    0.038759
4.0          103.0       51.15       49.95    0.030414
4.0          104.0       60.19       57.17    0.063263
4.0          105.0       61.78       57.79    0.074321
4.0          106.0       57.94        52.9     0.12685
4.0          107.0       51.84       50.39    0.040149
4.0          108.0       47.95       48.05  -0.0095239
4.0          109.0       58.58       55.96    0.040141
4.0          110.0       57.35       53.54    0.085491
4.0          111.0        61.9       55.15     0.14345
4.0          112.0       69.96       63.81     0.12504
4.0          113.0       43.93       43.78   0.0029699
4.0          114.0       45.86       46.21   -0.013119
4.0          115.0       74.24        65.9     0.14997
4.0          116.0       55.64       50.98    0.097165
4.0          117.0        71.6       47.57     0.26877
4.0          118.0       51.12        47.2    0.057653
4.0          119.0       62.26       55.31     0.14535
4.0          120.0       42.94       45.13   -0.039785
4.0          121.0       43.08       42.98   -0.002826
4.0          122.0       40.81       40.55 -0.00024948
4.0          123.0       62.56        50.4     0.20335
4.0          124.0       49.41       47.88    0.040928
4.0          125.0       53.66        52.4    0.031792
4.0          126.0       49.13       50.35   -0.036528
4.0          127.0       68.42       61.69     0.12881
4.0          128.0       40.06       33.17     0.24216
4.0          129.0       35.32       35.92     -0.0239
4.0          130.0        null        null        null
4.0          131.0       55.35        52.3    0.070726
4.0          132.0        null        null        null
4.0          133.0       78.74       69.33     0.14263
4.0          134.0       50.66       45.14     0.16806
4.0          135.0       67.68       61.95     0.13541
4.0          136.0        null        null        null
4.0          137.0       52.07        52.8   -0.030012
4.0          138.0       43.24       43.09   0.0030407
4.0          139.0       57.93       53.76      0.1043
4.0          140.0       47.42       42.79     0.11436
4.0          141.0       45.82       43.92    0.062928
4.0          142.0       47.45       47.71  -0.0068463
4.0          143.0       62.16       48.62     0.17298
4.0          144.0       38.33       38.68   -0.012928
4.0          145.0       95.24       63.58     0.35802
4.0          146.0       54.91       55.47    0.033443
4.0          147.0       44.87       42.66    0.076192
4.0          148.0       52.81       50.85    0.054248
4.0          149.0       43.23        41.2    0.063892
4.0          150.0       51.47       48.47    0.083599
4.0          151.0       59.85       58.14    0.047366
4.0          152.0        null        null        null
4.0          153.0       44.73       44.92  -0.0085912
4.0          154.0        68.6       57.52     0.20711
4.0          155.0       48.39       47.82    0.016072
4.0          156.0        55.6       52.22    0.073975
4.0          157.0       40.67        40.7   0.0022385
4.0          158.0       56.95       60.53   -0.094841
4.0          159.0       56.15       53.37    0.065703
5.0            0.0       53.47       49.23     0.10422
5.0            1.0       66.59       62.23    0.099322
5.0            2.0       98.25       81.09     0.19721
5.0            3.0       80.29       67.29     0.22131
5.0            4.0       66.97       56.74     0.19733
5.0            5.0       75.21       64.71     0.21556
5.0            6.0       76.05       58.82     0.23423
5.0            7.0       55.39       55.41   -0.016251
5.0            8.0       81.81       60.06     0.25699
5.0            9.0       87.59       68.72      0.3429
5.0           10.0          89       78.12     0.18251
5.0           11.0       62.16       54.96     0.11563
5.0           12.0       79.97       58.44     0.20732
5.0           13.0       67.62       62.96    0.090576
5.0           14.0       47.97       47.09    0.024537
5.0           15.0        null        null        null
5.0           16.0        null        null        null
5.0           17.0       48.41       49.72   -0.047406
5.0           18.0        null        null        null
5.0           19.0        null        null        null
5.0           20.0        null        null        null
5.0           21.0       78.43       56.24     0.38276
5.0           22.0      117.98       70.44     0.45568
5.0           23.0       67.25       43.42      0.2756
5.0           24.0        null        null        null
5.0           25.0       59.57       54.05     0.14601
5.0           26.0        null        null        null
5.0           27.0        null        null        null
5.0           28.0       67.68       61.83     0.12146
5.0           29.0        null        null        null
5.0           30.0       56.98       55.52    0.023704
5.0           31.0       69.29       66.05    0.058867
5.0           32.0       54.37       61.32    -0.19399
5.0           33.0       55.88       45.47     0.22972
5.0           34.0       74.32       58.78     0.10799
5.0           35.0      115.54       82.05     0.44307
5.0           36.0        null        null        null
5.0           37.0        null        null        null
5.0           38.0       53.12       51.42    0.042275
5.0           39.0        67.2       60.98     0.13362
5.0           40.0       82.36       80.06    0.030111
5.0           41.0       78.34       49.51     0.22244
5.0           42.0        null        null        null
5.0           43.0        78.6        67.6      0.1231
