site        roi         bsf         bdr         dsi         osi         dcv         ocv         
3           101         5.12        210         0.275463    0.786708    0.828532    0.3891      
3           102         10.24       300         0.0783922   0.790957    0.983894    0.425554    
3           103         5.12        240         0.125674    0.855564    0.890456    0.423159    
3           104         5.12        210         0.160173    0.783391    0.906591    0.456838    
3           105         5.12        90          0.0987874   0.674496    0.956101    0.684031    
3           106         10.24       330         0.0781599   0.92798     0.895889    0.393194    
3           107         10.24       330         0.0349629   0.929298    0.905339    0.409652    
3           108         10.24       330         0.102371    0.835164    0.903655    0.389337    
3           109         10.24       150         0.0438309   0.809664    0.987422    0.440295    
3           110         3.84        60          0.0021324   0.886007    0.94935     0.432194    
3           111         10.24       60          1           -0.117762   0.643139    0.829696    
3           112         3.84        60          0.1488      0.870121    0.977842    0.487325    
3           113         7.68        240         0.16643     0.852693    0.893278    0.506179    
3           114         10.24       0           0.3252      0.47077     0.918625    0.555666    
3           115         7.68        60          0.772215    -0.162829   0.870494    0.934476    
3           116         7.68        240         0.213757    0.494822    0.893014    0.788393    
3           117         7.68        300         0.207743    0.287605    0.955804    0.858363    
3           118         10.24       210         0.190629    0.000705486 0.950438    0.928982    
3           119         3.84        60          0.122128    0.980143    0.943847    0.359521    
3           120         10.24       300         0.102005    0.606177    0.943151    0.592683    
3           121         10.24       0           0.0931303   0.717836    0.954937    0.396275    
3           122         10.24       300         0.288722    0.381976    0.953193    0.851923    
3           123         3.84        90          0.542042    0.923239    0.766523    0.632607    
3           124         7.68        150         0.0895095   0.54112     0.862874    0.68336     
3           125         10.24       0           0.308056    0.416343    0.919206    0.793298    
3           126         10.24       300         0.0906184   0.311146    0.928974    0.71553     
3           127         7.68        240         0.0871768   0.934614    0.913713    0.330648    
3           128         10.24       210         0.182716    0.0906859   0.949067    0.926069    
3           129         10.24       0           0.139339    0.871707    0.987268    0.568943    
4           0           3.84        60          0.00842275  0.738893    0.957301    0.479236    
4           1           2.56        60          0.0839591   0.634741    0.919762    0.596109    
4           2           3.84        60          0.062711    0.587498    0.942404    0.596858    
4           3           3.84        270         0.234183    0.76808     0.96198     0.494472    
4           4           3.84        240         0.0472848   0.854391    0.915157    0.432219    
4           5           2.56        270         0.0697945   0.623922    0.959805    0.621214    
4           6           5.12        180         0.138228    0.771189    0.936148    0.379577    
4           7           3.84        240         0.0352839   0.694043    0.913347    0.573306    
4           8           7.68        120         0.304883    1           0.776243    0.266591    
4           9           2.56        240         0.153681    0.834494    0.870511    0.525586    
4           10          2.56        120         0.212665    0.456581    0.948947    0.695686    
4           11          2.56        120         0.431758    0.230583    0.827988    0.880904    
4           12          1.92        330         0.130316    0.628088    0.877297    0.598335    
4           13          1.92        60          0.258249    0.540672    0.857058    0.587301    
4           14          2.56        300         0.0536539   0.524328    0.946311    0.622468    
4           15          0.96        180         0.272471    0.835117    0.701752    0.505434    
4           16          3.84        240         0.00323723  0.726893    0.942542    0.540403    
4           17          1.92        330         0.391143    0.327416    0.78069     0.870913    
4           18          1.92        150         0.0165368   0.40631     0.960962    0.803338    
4           19          2.56        30          0.199345    0.905656    0.897382    0.288172    
4           20          0.96        0           0.359569    0.428352    0.834893    0.718164    
4           21          3.84        60          0.0339881   0.776448    0.949314    0.513738    
4           22          3.84        240         0.434497    0.368034    0.821929    0.89523     
4           23          3.84        300         0.0641602   0.382535    0.898125    0.815802    
4           24          2.56        240         0.313108    0.255558    0.959701    0.927207    
4           25          0.96        330         0.75841     0.531609    0.855997    0.718071    
4           26          3.84        240         0.112811    0.617144    0.938381    0.594153    
4           27          2.56        120         0.350299    0.19152     0.902701    0.893314    
4           28          2.56        30          0.365648    0.781397    0.666611    0.421853    
4           29          3.84        240         0.00312207  0.486243    0.948344    0.657444    
4           30          0.64        270         0.451504    0.236907    0.773152    0.793598    
4           31          1.92        150         0.0051549   0.268327    0.924247    0.83918     
4           32          1.92        330         0.0122768   0.0971747   0.881746    0.910067    
4           33          2.56        180         0.378486    0.491235    0.859565    0.706084    
4           34          2.56        120         0.721923    0.145997    0.606035    0.855284    
4           35          2.56        120         0.366321    0.244374    0.86674     0.871431    
4           36          1.92        150         0.0191719   0.210916    0.955215    0.952559    
4           37          2.56        30          0.641068    0.0987836   0.738244    0.854957    
4           38          3.84        30          0.119162    0.749344    0.960081    0.629941    
4           39          2.56        120         0.27276     0.0658197   0.93008     0.918411    
4           40          1.28        30          0.228273    0.479677    0.802625    0.808936    
4           41          1.28        150         0.702879    0.726123    0.595821    0.628707    
4           42          2.56        30          0.37651     0.0845778   0.820506    0.939338    
4           43          1.28        180         0.435527    0.37083     0.932025    0.692475    
4           44          1.92        210         0.206829    0.149478    0.939541    0.848009    
4           45          2.56        120         0.148294    0.262587    0.932514    0.870614    
4           46          10.24       240         1           1           0.4165      0.87008     
4           47          2.56        120         0.394158    0.0192309   0.889608    0.865295    
4           48          3.84        330         0.252883    0.0338113   0.978661    0.875174    
4           49          2.56        30          0.445384    0.22685     0.902651    0.838378    
4           50          1.92        330         0.100428    0.354777    0.934919    0.806891    
4           51          5.12        30          0.357826    0.465017    0.731399    0.721928    
4           52          3.84        180         0.258708    0.966651    0.92205     0.366646    
4           53          5.12        180         0.101352    0.988519    0.97669     0.223139    
4           54          2.56        330         0.224657    0.221796    0.884137    0.863745    
4           55          3.84        0           0.0603727   0.561094    0.943212    0.660637    
4           56          1.92        150         0.0984415   0.522417    0.903773    0.719333    
4           57          2.56        30          0.514614    0.548635    0.857863    0.646142    
4           58          3.84        330         0.312997    0.663124    0.870949    0.439588    
4           59          2.56        30          0.429356    0.122682    0.957514    0.867047    
4           60          5.12        180         0.160632    0.741429    0.887074    0.53922     
4           61          2.56        30          0.232231    0.1803      0.806837    0.879431    
4           62          2.56        0           0.7789      0.133584    0.817729    0.906912    
4           63          3.84        240         0.363892    0.421468    0.855655    0.684197    
4           64          1.28        210         0.231081    0.78289     0.853514    0.520276    
4           65          10.24       330         0.322552    0.929711    0.761874    0.165783    
4           66          5.12        330         0.409853    0.88644     0.846567    0.47495     
4           67          5.12        180         0.100895    1           0.929178    0.190271    
4           68          1.92        60          0.489233    0.45786     0.715381    0.662274    
4           69          2.56        0           0.397883    1           0.751665    0.360512    
4           70          5.12        0           0.111417    0.935853    0.900209    0.368886    
