site       ROI        LHI2            LHI3           
5          144        0.042981        0.051202       
5          145        0.3497          0.24028        
5          146        0.33822         0.34793        
5          147        0.44089         0.40821        
5          148        0.054925        0.077029       
6          0          0.083284        0.11118        
6          1          0.16649         0.40534        
6          2          0.21046         0.33201        
6          3          0.29969         0.3163         
6          4          0.085684        0.11437        
6          5          0.085238        0.12229        
6          6          0.37356         0.52321        
6          7          0.1148          0.32392        
6          8          0.57495         0.39405        
6          9          0.36431         0.44146        
6          10         0.51457         0.31905        
6          11         0.12892         0.39643        
6          12         0.12922         0.3266         
6          13         0.59669         0.46273        
6          14         0.5218          0.35552        
6          15         0.1444          0.41885        
6          16         0.6042          0.56225        
6          17         0.092397        0.15349        
6          18         0.60676         0.73627        
6          19         0.1782          0.48293        
6          20         0.46767         0.42232        
6          21         0.60118         0.55199        
6          22         0.20577         0.53772        
6          23         0.57764         0.67716        
6          24         0.14646         0.2588         
6          25         0.2002          0.43727        
6          26         0.20193         0.43184        
6          27         0.48874         0.52549        
6          28         0.080581        0.12106        
6          29         0.11667         0.20387        
6          30         0.32277         0.44567        
6          31         0.38946         0.61628        
6          32         0.090622        0.14552        
6          33         0.41701         0.58119        
6          34         0.14118         0.23189        
6          35         0.08052         0.12702        
6          36         0.19839         0.38486        
6          37         0.153           0.48751        
6          38         0.25687         0.59742        
6          39         0.23221         0.39599        
6          40         0.21005         0.38757        
6          41         0.10524         0.33781        
6          42         0.21834         0.36487        
6          43         0.19827         0.32378        
6          44         0.14589         0.31497        
6          45         0.15611         0.35372        
6          46         0.09813         0.12804        
6          47         0.042115        0.15832        
6          48         0.087933        0.3306         
6          49         0.14223         0.34435        
6          50         0.13643         0.32826        
6          51         0.019604        0.035782       
6          52         0.097048        0.10091        
6          53         0.089161        0.3158         
6          54         0.015904        0.037437       
6          55         0.14566         0.20082        
6          56         0.078697        0.31653        
6          57         0.15712         0.29462        
6          58         0.060962        0.069544       
6          59         0.19594         0.19335        
6          60         0.068637        0.27402        
6          61         0.069681        0.069702       
6          62         0.042174        0.097801       
6          63         0.08065         0.14468        
6          64         0.027792        0.087463       
6          65         0.03203         0.054845       
6          66         0.13261         0.25846        
6          67         0.061878        0.079078       
6          68         0.048918        0.065331       
6          69         0.082573        0.15309        
6          70         0.025228        0.097654       
6          71         0.13391         0.18781        
6          72         0.15247         0.21537        
6          73         0.059219        0.16328        
6          74         0.096735        0.19238        
6          75         0.092649        0.19762        
6          76         0.071425        0.18195        
6          77         0.077852        0.18605        
6          78         0.097358        0.11054        
6          79         0.070735        0.1112         
6          80         0.075762        0.18109        
6          81         0.080086        0.17282        
6          82         0.15569         0.28125        
6          83         0.077186        0.10107        
6          84         0.063056        0.16613        
6          85         0.11915         0.20248        
6          86         0.07151         0.10676        
6          87         0.21073         0.29546        
6          88         0.087209        0.13789        
6          89         0.25615         0.35445        
6          90         0.081806        0.10306        
6          91         0.07177         0.20584        
6          92         0.13004         0.12739        
6          93         0.092357        0.2186         
6          94         0.075759        0.10134        
6          95         0.31654         0.43354        
6          96         0.13557         0.16258        
6          97         0.25686         0.36795        
6          98         0.05859         0.083191       
6          99         0.11979         0.20432        
6          100        0.097284        0.11651        
6          101        0.17298         0.20079        
6          102        0.24955         0.34854        
6          103        0.28574         0.40576        
6          104        0.27117         0.38149        
6          105        0.12922         0.24131        
6          106        0.18006         0.25723        
6          107        0.092219        0.19168        
6          108        0.27077         0.37303        
6          109        0.11461         0.15807        
6          110        0.15341         0.29319        
6          111        0.34594         0.40809        
6          112        0.063138        0.094084       
6          113        0.096206        0.16855        
6          114        0.2197          0.36212        
6          115        0.3023          0.38825        
6          116        0.45954         0.44451        
6          117        0.1107          0.19593        
6          118        0.42856         0.57688        
6          119        0.31524         0.4007         
6          120        0.081432        0.11223        
6          121        0.45232         0.38688        
6          122        0.15472         0.15214        
6          123        0.2866          0.23077        
6          124        0.1613          0.23409        
6          125        0.42788         0.34135        
6          126        0.16889         0.27389        
6          127        0.44774         0.61221        
6          128        0.1091          0.17741        
6          129        0.029488        0.046984       
6          130        0.043424        0.06122        
6          131        0.43869         0.49529        
6          132        0.16767         0.24755        
6          133        0.11408         0.15464        
6          134        0.089841        0.14815        
6          135        0.62239         0.46847        
6          136        0.2254          0.40724        
6          137        0.17396         0.3217         
6          138        0.027428        0.049695       
6          139        0.097948        0.17488        
6          140        0.12422         0.23306        
6          141        0.069057        0.12504        
6          142        0.028547        0.053295       
6          143        0.3051          0.36054        
6          144        0.63507         0.44968        
6          145        0.58887         0.37514        
6          146        0.014548        0.035041       
6          147        0.030748        0.069072       
6          148        0.014495        0.034438       
6          149        0.62048         0.7503         
6          150        0.10177         0.1889         
6          151        0.030455        0.075273       
7          0          0.15907         0.17001        
7          1          0.06919         0.087518       
7          2          0.19124         0.30654        
7          3          0.093753        0.11248        
7          4          0.21719         0.32247        
7          5          0.27432         0.36394        
7          6          0.39731         0.4256         
7          7          0.16478         0.29598        
7          8          0.10805         0.11748        
7          9          0.25136         0.26861        
7          10         0.10747         0.18158        
7          11         0.42913         0.39614        
7          12         0.40446         0.45579        
7          13         0.25684         0.4297         
7          14         0.39586         0.50604        
7          15         0.14117         0.30436        
7          16         0.61991         0.52301        
7          17         0.14872         0.30279        
7          18         0.34072         0.36578        
7          19         0.39008         0.57396        
7          20         0.12609         0.15361        
7          21         0.54086         0.72969        
7          22         0.69075         0.67507        
7          23         0.32402         0.52267        
7          24         0.39322         0.413          
7          25         0.796           0.67794        
7          26         0.10398         0.1356         
7          27         0.083339        0.25014        
7          28         0.22903         0.26265        
7          29         0.16559         0.42004        
7          30         0.168           0.4298         
7          31         0.30482         0.46409        
7          32         0.34655         0.52311        
7          33         0.089786        0.12049        
7          34         0.16678         0.20248        
7          35         0.68085         0.62976        
7          36         0.15417         0.38238        
7          37         0.11176         0.1394         
7          38         0.18525         0.21773        
7          39         0.099723        0.12295        
7          40         0.20664         0.46774        
7          41         0.23273         0.34622        
7          42         0.095398        0.33829        
7          43         0.085524        0.29242        
7          44         0.10353         0.35392        
7          45         0.14879         0.32511        
7          46         0.29496         0.31984        
7          47         0.10038         0.26157        
7          48         0.096092        0.11182        
7          49         0.073977        0.3157         
7          50         0.17804         0.41863        
7          51         0.09948         0.1232         
7          52         0.077712        0.15426        
7          53         0.105           0.35607        
7          54         0.11853         0.34236        
7          55         0.062799        0.2867         
7          56         0.065858        0.084628       
7          57         0.095376        0.12255        
7          58         0.057677        0.28377        
7          59         0.031308        0.041542       
7          60         0.049234        0.064829       
7          61         0.023577        0.035728       
7          62         0.044947        0.19118        
7          63         0.060506        0.097882       
7          64         0.10803         0.27667        
7          65         0.11823         0.21179        
7          66         0.053159        0.10957        
7          67         0.042317        0.27838        
7          68         0.065463        0.28637        
7          69         0.023388        0.06496        
7          70         0.097406        0.28342        
7          71         0.10851         0.19711        
7          72         0.037342        0.2446         
7          73         0.038597        0.070127       
7          74         0.026626        0.055465       
7          75         0.028887        0.057463       
7          76         0.089396        0.10464        
7          77         0.067803        0.095217       
7          78         0.028115        0.13777        
7          79         0.060582        0.095444       
7          80         0.020187        0.054514       
