ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
140           4.2533      0.2423     0.39267     0.38258     0.40604      1.0805     0.39748
141          -48.826     0.62075      2.6837      1.1368     -7.3392     0.71509     0.30795
142          -1.3956   -0.039922     0.12435     0.51659    -0.32081     0.94918    -0.73071
143          -17.989   -0.022307    -0.05531     0.14571     -1.9119     0.64463    -0.22644
144            5.986    -0.14528   -0.042483     0.10643      1.3145      1.5206     0.43525
145            6.233    -0.53797   -0.018065    0.037817      1.0495      1.6531     0.69349
146           23.506    -0.16845     0.16764      0.3651      6.3065      3.3016     -1.7442
147          -449.28     0.46597      2.0442     0.33646     -47.077    0.098911     0.93899
148          -1.6591     0.43568     0.10307    0.056751    -0.41484      0.8871     0.46757
149          -16.999      0.5212      2.6343     0.46587     -3.6463     0.79418     0.48222
150           5.8826    0.076851     0.13404      0.2475      2.3446      1.4377     -1.0391
